Make,Dealer Name,Dealer Code,City,State,Address,Phone,Channel/Segment
Hyundai,Ramaa Hyundai,HYD-DEL-001,Delhi,Delhi,"10/A, Inner Ring Road, Opp. Moolchand Hospital, Lajpat Nagar 4, New Delhi 110024",9311139004,Hyundai
Hyundai,Hans Hyundai,HYD-DEL-002,Delhi,Delhi,"A-57, Industrial Area Phase 1, Naraina, New Delhi 110028",8447735009,Hyundai
Hyundai,Hyundai Dwarka,HYD-DEL-003,Delhi,Delhi,"K1/36, Main Rajapuri Rd, Opp. Sector 5, Dwarka, Delhi 110059",,Hyundai
Hyundai,Hyundai IP Extension,HYD-DEL-004,Delhi,Delhi,"Sunrise Complex, Plot No.2, I.P.Extension, Opp. Pandav Nagar, Delhi 110092",,Hyundai
Hyundai,Hyundai Najafgarh,HYD-DEL-005,Delhi,Delhi,"Plot No.2,3,4 Ranaji Enclave, Najafgarh, Opp. Pillar No.33-34, Delhi 110043",,Hyundai
Hyundai,Hyundai Salt Lake,HYD-KOL-001,Kolkata,West Bengal,"Adventz Infinity, Plot No 5, Block BN, Sector V, Salt Lake, Kolkata 700091",9830001122,Hyundai
Hyundai,Hyundai Kalikapur,HYD-KOL-002,Kolkata,West Bengal,"Ambient Winds, 1185 Kalikapur, P.S Survey Park, Kolkata 700099",9830068068,Hyundai
Hyundai,Hyundai Kharibari,HYD-KOL-003,Kolkata,West Bengal,"Maheshgudi, Kharibari Road, 24 Paraganas (North) 700128",9830017017,Hyundai
Hyundai,Hyundai Navi Mumbai,HYD-MUM-001,Mumbai,Maharashtra,"Plot No. D-406, TTC Industrial Area, Mumbai Pune Highway, Turbhe, Navi Mumbai",,Hyundai
Hyundai,Hyundai Mahalaxmi,HYD-MUM-002,Mumbai,Maharashtra,"Unit No. 6, Vivarea Complex, Sane Guruji Marg, Mahalaxmi, Mumbai",,Hyundai
Hyundai,Hyundai Kandivali,HYD-MUM-003,Mumbai,Maharashtra,"Kandivali West, Mumbai",,Hyundai
Hyundai,Hyundai Borivali,HYD-MUM-004,Mumbai,Maharashtra,"Borivali West, Mumbai",,Hyundai
Hyundai,Hyundai Warje Pune,HYD-PUN-001,Pune,Maharashtra,"K.J. Tower, S. No. 113/3, Opp. RMD Sinhgad Institute, Mumbai-Bangalore Bypass, Warje, Pune",,Hyundai
Hyundai,Hyundai Hadapsar Pune,HYD-PUN-002,Pune,Maharashtra,"Hadapsar, Pune",,Hyundai
