Make,Model,Variant,Fuel Type,Transmission,Colors Available,City,Ex-Showroom Price (INR),Channel/Segment
Hyundai,Grand i10 Nios,Era 1.2 Kappa,Petrol,5-speed MT,"Fiery Red, Titan Grey, Atlas White, Starry Night, Typhoon Silver, Abyss Black",Delhi,560000,Mass
Hyundai,Grand i10 Nios,Era 1.2 AMT,Petrol,AMT,"Fiery Red, Titan Grey, Atlas White, Starry Night, Typhoon Silver, Abyss Black",Delhi,610000,Mass
Hyundai,Grand i10 Nios,Magna 1.2 Kappa,Petrol,5-speed MT,"Fiery Red, Titan Grey, Atlas White, Starry Night, Typhoon Silver, Abyss Black",Delhi,620000,Mass
Hyundai,Grand i10 Nios,Magna 1.2 CNG,Petrol+CNG,5-speed MT,"Titan Grey, Atlas White, Typhoon Silver",Delhi,750000,Mass
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa,Petrol,5-speed MT,"Fiery Red, Titan Grey, Atlas White, Starry Night, Typhoon Silver, Abyss Black",Delhi,690000,Mass
Hyundai,Grand i10 Nios,Sportz 1.2 AMT,Petrol,AMT,"Fiery Red, Titan Grey, Atlas White, Starry Night, Typhoon Silver, Abyss Black",Delhi,740000,Mass
Hyundai,Grand i10 Nios,Sportz 1.2 CNG,Petrol+CNG,5-speed MT,"Titan Grey, Atlas White, Typhoon Silver",Delhi,800000,Mass
Hyundai,Grand i10 Nios,Asta 1.2 Kappa,Petrol,5-speed MT,"Fiery Red, Titan Grey, Atlas White, Starry Night, Typhoon Silver, Abyss Black",Delhi,760000,Mass
Hyundai,Aura,E 1.2 Kappa,Petrol,5-speed MT,"Fiery Red, Titan Grey, Atlas White, Starry Night, Typhoon Silver, Abyss Black",Delhi,600000,Mass
Hyundai,Aura,S 1.2 Kappa,Petrol,5-speed MT,"Fiery Red, Titan Grey, Atlas White, Starry Night, Typhoon Silver, Abyss Black",Delhi,675000,Mass
Hyundai,Aura,S 1.2 CNG,Petrol+CNG,5-speed MT,"Titan Grey, Atlas White, Typhoon Silver",Delhi,785000,Mass
Hyundai,Aura,SX 1.2 Kappa,Petrol,5-speed MT,"Fiery Red, Titan Grey, Atlas White, Starry Night, Typhoon Silver, Abyss Black",Delhi,745000,Mass
Hyundai,Aura,SX+ 1.2 AMT,Petrol,AMT,"Fiery Red, Titan Grey, Atlas White, Starry Night, Typhoon Silver, Abyss Black",Delhi,860000,Mass
Hyundai,Exter,EX 1.2 Kappa,Petrol,5-speed MT,"Cosmic Blue, Ranger Khaki, Atlas White, Abyss Black, Titan Grey, Fiery Red",Delhi,581000,Mass
Hyundai,Exter,EX+ 1.2 Kappa,Petrol,5-speed MT,"Cosmic Blue, Ranger Khaki, Atlas White, Abyss Black, Titan Grey, Fiery Red",Delhi,640000,Mass
Hyundai,Exter,S 1.2 Kappa,Petrol,5-speed MT,"Cosmic Blue, Ranger Khaki, Atlas White, Abyss Black, Titan Grey, Fiery Red",Delhi,700000,Mass
Hyundai,Exter,S 1.2 CNG,Petrol+CNG,5-speed MT,"Atlas White, Abyss Black, Titan Grey",Delhi,810000,Mass
Hyundai,Exter,S 1.2 AMT,Petrol,AMT,"Cosmic Blue, Ranger Khaki, Atlas White, Abyss Black, Titan Grey, Fiery Red",Delhi,750000,Mass
Hyundai,Exter,SX 1.2 Kappa,Petrol,5-speed MT,"Cosmic Blue, Ranger Khaki, Atlas White, Abyss Black, Titan Grey, Fiery Red, Dual Tone",Delhi,810000,Mass
Hyundai,Exter,SX(O) 1.2 AMT,Petrol,AMT,"Cosmic Blue, Ranger Khaki, Atlas White, Abyss Black, Titan Grey, Fiery Red, Dual Tone",Delhi,890000,Mass
Hyundai,Exter,SX Connect 1.2 AMT,Petrol,AMT,"Cosmic Blue, Ranger Khaki, Atlas White, Abyss Black, Titan Grey, Fiery Red, Dual Tone",Delhi,961000,Mass
Hyundai,i20,Era 1.2 Kappa,Petrol,5-speed MT,"Titanium Black, Typhoon Silver, Titan Grey, Starry Night, Fiery Red, Atlas White, Amazon Grey",Delhi,600000,Premium
Hyundai,i20,Magna 1.2 Kappa,Petrol,5-speed MT,"Titanium Black, Typhoon Silver, Titan Grey, Starry Night, Fiery Red, Atlas White, Amazon Grey",Delhi,680000,Premium
Hyundai,i20,Sportz 1.2 Kappa,Petrol,5-speed MT,"Titanium Black, Typhoon Silver, Titan Grey, Starry Night, Fiery Red, Atlas White, Amazon Grey, Dual Tone",Delhi,760000,Premium
Hyundai,i20,Sportz 1.2 IVT,Petrol,IVT,"Titanium Black, Typhoon Silver, Titan Grey, Starry Night, Fiery Red, Atlas White, Amazon Grey, Dual Tone",Delhi,850000,Premium
Hyundai,i20,Asta 1.2 IVT,Petrol,IVT,"Titanium Black, Typhoon Silver, Titan Grey, Starry Night, Fiery Red, Atlas White, Amazon Grey, Dual Tone",Delhi,950000,Premium
Hyundai,i20,Asta(O) 1.2 IVT,Petrol,IVT,"Titanium Black, Typhoon Silver, Titan Grey, Starry Night, Fiery Red, Atlas White, Dual Tone",Delhi,1063000,Premium
Hyundai,Venue,E 1.2 Kappa,Petrol,5-speed MT,"Mystic Sapphire, Hazel Blue, Titan Grey, Dragon Red, Atlas White, Titanium Black",Delhi,800000,Mass
